aaHappiness in life,aboveAvg Happiness,Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive,Economy Management,Elections,Empathy,Energy levels,Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Geography,Getting angry,Getting up,Giving,God,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,Hypochondria,Interests or hobbies,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Life struggles,Loneliness,Loss of interest,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical,Musical instruments,New environment,Number of friends,Number of siblings,Only child,Opera,Parents' advice,Passive sport,PC,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock,Rock n roll,Romantic,Science and technology,Sci-fi,Self-criticism,Shopping,Shopping centres,Slow songs or fast songs,Small - big dogs,Snakes,Socializing,Spending on gadgets,Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Waiting,War,Weight,Western,Workaholism,Writing,Writing notes,Alcohol,Village - town,Smoking,Education,Gender,House - block of flats,Internet usage,Left - right handed,Lying,Punctuality,Validation
4,1,3,3,1,1,19,1,3,5,4,2,2,2,4,2,2,2,3,1,3,1,5,2,5,5,1,4,1,3,3,1,4,2,5,3,3,2,3,5,5,3,3,1,5,2,3,2,2,1,2,5,3,4,2,3,3,1,4,3,4,3,3,175,2,3,3,5,2,3,4,5,4,3,3,4,5,2,1,2,2,2,3,5,5,3,1,3,3,2,0,2,4,5,5,3,5,1,3,4,2,3,3,1,4,1,3,2,4,2,4,3,3,3,4,3,4,5,4,3,2,1,3,2,2,4,2,1,2,4,2,3,4,3,3,2,60,1,2,1,4,social drinker,city,current smoker,secondary school,female,block of flats,less than an hour a day,left handed,sometimes,i am often early,0
3,0,3,4,3,1,17,5,5,5,2,5,4,1,2,1,1,2,3,3,5,1,5,4,4,2,1,5,5,3,1,1,5,1,3,5,3,1,1,1,5,3,3,3,5,5,1,2,3,4,1,2,3,3,5,1,5,3,5,1,1,2,3,176,3,1,2,3,5,4,5,3,3,5,2,3,4,4,3,1,1,1,5,5,5,1,1,5,4,1,0,2,4,5,4,3,1,1,5,2,1,2,5,1,4,5,3,1,3,1,3,5,2,3,3,2,5,3,2,3,1,5,5,1,2,1,5,1,2,1,1,1,4,2,3,5,60,1,3,1,5,never,city,tried smoking,primary school,female,block of flats,few hours a day,right handed,everytime it suits me,i am often running late,0
4,1,3,1,3,1,24,5,3,3,4,1,5,5,5,1,3,3,3,2,2,5,5,4,4,5,1,5,2,4,1,3,2,1,5,3,3,3,1,5,5,3,2,1,5,2,1,4,1,1,2,5,4,4,3,4,3,5,3,2,1,5,3,168,1,3,4,1,5,2,3,2,5,3,2,2,5,5,4,1,5,4,4,5,5,3,4,1,3,10,0,2,4,5,2,3,2,1,4,3,3,4,3,2,2,1,5,1,5,1,4,5,4,3,3,1,5,2,1,3,4,3,2,2,3,3,1,1,1,1,2,5,5,2,2,4,55,1,4,1,5,social drinker,city,tried smoking,college/bachelor degree,female,block of flats,few hours a day,right handed,only to avoid hurting someone,i am often running late,1
4,1,4,3,3,4,19,2,1,4,5,3,2,1,5,2,1,5,2,1,3,1,3,1,5,5,2,5,2,5,5,3,1,3,5,2,4,2,3,3,4,4,3,2,5,3,3,3,2,2,3,5,3,5,3,1,1,3,5,3,3,3,3,165,4,2,2,3,1,5,3,5,4,4,3,1,4,2,3,1,1,1,3,5,5,5,3,2,3,1,0,1,3,3,3,4,5,1,1,5,3,2,5,1,2,3,4,1,5,1,3,2,2,5,2,2,5,5,5,3,5,4,3,3,3,4,3,3,3,1,3,3,2,3,3,1,55,1,2,1,3,social drinker,city,never smoked,secondary school,female,block of flats,few hours a day,right handed,only to avoid hurting someone,i am often early,1
5,1,4,4,1,1,22,5,4,5,4,4,1,2,4,1,1,5,1,3,1,1,5,2,5,5,1,3,4,4,2,1,5,3,5,3,4,1,3,5,5,4,5,1,5,3,5,5,3,5,1,3,5,5,4,5,1,4,1,5,5,5,1,175,3,3,2,1,5,2,4,5,4,2,1,1,5,2,1,1,1,2,4,4,5,3,1,1,5,1,0,1,4,3,2,4,5,1,1,4,5,5,3,5,3,1,4,4,5,2,5,5,4,4,2,1,5,5,3,3,1,5,1,1,4,5,2,5,4,1,4,5,3,3,3,1,57,1,2,5,5,social drinker,city,current smoker,college/bachelor degree,female,block of flats,most of the day,right handed,only to avoid hurting someone,i am often early,1
2,0,3,4,3,5,18,1,3,4,3,3,5,5,5,1,5,1,5,1,5,2,4,4,5,5,3,5,5,2,2,1,1,1,3,5,3,5,3,5,4,4,3,1,4,2,1,3,2,5,2,4,3,5,5,3,3,5,3,3,1,2,5,177,1,2,5,5,1,3,4,4,4,4,2,4,4,4,5,3,2,5,5,5,1,3,5,2,3,0,1,2,4,5,5,3,1,3,3,3,0,5,3,5,4,1,3,4,5,1,4,5,3,3,5,3,5,3,3,3,5,1,2,5,5,3,1,1,2,1,3,3,5,3,1,5,77,2,5,2,0,social drinker,city,former smoker,secondary school,male,block of flats,few hours a day,right handed,only to avoid hurting someone,i am always on time,0
4,1,3,2,1,4,19,2,1,2,4,1,3,4,2,4,1,3,5,1,5,1,2,1,5,5,1,5,3,2,3,2,5,5,5,4,3,3,1,2,5,4,3,3,2,4,5,3,2,1,1,3,4,5,5,1,1,3,4,3,4,3,3,175,4,2,1,3,1,4,5,4,3,4,1,1,4,2,5,1,5,1,3,5,5,2,2,4,4,2,0,1,3,5,2,3,5,1,1,4,3,1,4,3,1,1,1,3,2,2,2,4,3,3,2,2,3,4,4,3,2,3,3,3,3,3,5,3,2,4,1,5,3,3,3,2,65,1,5,1,2,drink a lot,city,current smoker,college/bachelor degree,female,block of flats,few hours a day,right handed,everytime it suits me,i am always on time,1
2,0,4,3,3,1,20,5,1,4,4,1,3,5,3,2,1,3,5,2,2,5,4,2,5,5,3,5,5,4,3,3,5,5,2,5,2,5,1,5,3,2,0,5,4,3,5,1,2,3,3,2,2,3,3,3,2,5,2,3,2,4,3,168,5,3,3,4,2,4,3,5,3,2,2,1,5,4,2,1,3,2,5,5,5,2,1,5,2,1,0,3,1,1,3,2,5,3,2,4,2,2,3,3,3,1,4,4,5,1,5,4,3,5,4,5,4,3,5,3,3,4,4,2,5,2,4,5,3,1,3,4,2,4,2,2,65,1,3,2,5,social drinker,village,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,everytime it suits me,i am often running late,0
3,0,2,5,3,1,18,1,4,4,4,1,3,3,5,4,2,1,4,1,4,3,3,4,5,2,3,3,1,2,5,3,1,1,3,5,3,3,3,1,4,3,4,2,4,2,3,4,2,1,4,4,5,3,3,1,1,1,2,1,5,3,4,181,1,4,3,2,1,4,5,5,5,5,4,1,1,4,3,5,2,4,3,5,5,5,1,4,2,2,0,3,3,3,5,3,4,5,3,5,4,5,5,3,2,1,3,4,4,1,4,4,4,4,5,5,2,2,2,3,4,1,3,5,4,4,1,1,4,4,1,5,4,3,3,5,78,5,4,1,3,social drinker,city,tried smoking,secondary school,male,house/bungalow,few hours a day,right handed,only to avoid hurting someone,i am often early,0
4,1,2,5,2,3,18,2,3,4,3,2,1,2,5,4,4,3,3,1,5,1,3,4,4,1,2,4,3,3,3,1,2,2,4,5,4,2,4,3,5,3,4,1,4,3,1,2,1,3,3,4,4,5,3,1,4,2,5,1,1,3,3,188,4,1,2,1,1,4,5,5,5,4,4,1,1,2,3,3,2,5,4,3,5,2,5,4,4,1,0,2,2,4,5,5,1,2,3,2,1,3,3,2,3,2,3,4,4,1,4,4,4,2,4,3,3,3,3,4,4,2,2,3,3,3,4,2,5,3,2,4,4,2,2,5,90,2,1,1,1,drink a lot,city,former smoker,secondary school,male,house/bungalow,few hours a day,left handed,only to avoid hurting someone,i am always on time,1
3,0,3,4,5,3,20,1,5,3,3,2,3,4,5,3,5,2,3,2,4,4,3,4,5,5,3,5,4,3,3,1,1,2,2,3,4,2,2,5,3,4,2,1,3,2,1,2,4,2,2,4,1,4,3,2,3,3,3,4,3,3,2,186,2,4,5,5,1,5,5,3,4,4,3,2,4,2,2,2,4,5,3,5,5,3,5,4,3,1,0,4,3,5,4,3,3,3,4,2,2,3,3,4,4,2,3,3,2,1,4,5,4,3,5,3,4,1,3,3,4,2,4,4,4,2,2,2,5,3,2,2,5,3,3,4,77,2,3,3,3,never,city,never smoked,secondary school,male,block of flats,few hours a day,right handed,only to avoid hurting someone,i am often early,0
4,1,4,5,3,5,24,1,3,4,3,2,5,3,3,1,1,1,1,1,5,1,5,2,5,5,3,4,3,4,1,1,1,1,1,5,4,1,5,5,1,5,1,2,3,1,1,2,1,1,1,4,3,5,4,3,5,4,5,2,3,1,3,186,1,1,4,5,1,5,5,2,4,5,2,1,2,4,2,3,2,5,2,5,5,2,2,5,3,1,0,2,3,5,5,3,5,1,4,2,1,4,1,4,4,1,1,2,4,1,2,5,4,2,5,5,3,1,1,5,5,1,3,2,2,1,1,1,1,1,4,2,5,5,3,3,85,2,3,4,1,social drinker,city,tried smoking,secondary school,male,block of flats,few hours a day,left handed,sometimes,i am often early,1
3,0,2,3,3,2,22,1,2,5,3,1,3,3,4,1,2,1,3,2,3,2,5,3,5,5,3,4,1,2,3,3,3,1,5,5,3,3,3,5,4,4,2,3,4,3,5,5,2,1,2,3,3,5,3,1,3,1,4,3,5,3,3,167,1,2,3,2,2,3,0,3,3,2,3,2,4,3,1,1,3,1,3,5,5,3,2,3,2,1,0,2,3,3,3,4,5,1,2,4,3,4,3,2,2,3,2,1,4,4,4,0,3,4,3,4,1,1,2,3,3,5,3,4,4,2,5,2,1,3,2,3,3,3,4,2,70,3,2,1,1,social drinker,city,tried smoking,college/bachelor degree,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
4,1,2,2,4,3,20,3,1,5,3,2,1,5,3,4,3,3,4,2,5,5,4,2,5,5,2,3,1,3,4,5,3,5,4,3,4,1,2,5,3,2,3,3,5,3,3,2,5,2,2,4,3,5,4,3,3,4,5,2,2,4,3,168,3,3,2,2,1,3,4,5,4,4,4,2,4,3,2,2,4,2,4,5,5,4,5,2,3,3,0,1,2,2,3,4,5,3,3,4,1,2,3,3,4,2,5,3,4,2,4,5,3,5,3,4,5,4,3,3,3,3,2,2,4,4,3,4,3,1,5,3,4,4,3,3,54,2,2,3,4,social drinker,city,tried smoking,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often running late,0
2,0,3,4,5,3,19,5,3,2,5,4,5,3,5,5,3,4,5,3,5,2,5,4,5,5,1,5,5,5,3,5,5,2,3,3,2,2,2,5,5,4,4,2,2,5,2,3,4,1,1,5,5,5,2,3,4,5,5,3,4,5,4,167,1,1,4,4,2,5,5,5,5,5,2,5,5,4,1,2,4,5,4,5,5,3,4,2,2,1,0,4,4,4,4,3,3,1,5,3,2,5,5,5,5,4,4,1,3,2,1,5,2,5,5,2,4,5,5,2,1,5,4,5,5,5,5,1,1,3,5,5,2,5,1,2,51,1,4,3,5,never,city,tried smoking,secondary school,female,block of flats,few hours a day,right handed,only to avoid hurting someone,i am often early,0
4,1,2,1,4,1,20,4,1,3,4,2,4,1,4,1,1,5,5,1,4,1,4,2,5,4,1,2,1,3,4,4,4,2,5,3,4,1,5,2,3,3,3,2,4,2,1,2,2,3,2,5,4,5,3,1,2,4,2,3,2,3,3,170,3,3,2,1,1,2,5,3,4,3,4,3,5,2,5,3,1,1,4,5,5,3,1,3,4,1,1,1,4,3,2,3,3,1,1,5,3,2,4,1,3,1,4,1,5,1,2,1,1,5,1,1,5,5,5,3,1,2,2,1,2,3,5,2,2,2,3,4,2,4,2,1,56,1,2,1,5,social drinker,city,tried smoking,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am always on time,1
4,1,3,1,5,4,22,2,3,5,3,2,4,5,5,4,4,4,3,3,5,5,5,5,5,5,4,5,1,3,5,3,2,1,4,5,4,3,1,5,4,3,4,2,5,3,4,5,3,1,5,3,5,4,5,5,3,2,4,4,5,2,3,165,1,2,3,3,2,5,5,4,4,4,5,1,4,4,3,2,2,3,4,5,5,3,2,4,4,1,0,2,5,4,2,4,5,3,1,4,4,3,5,2,4,1,4,1,4,4,3,4,5,4,3,2,5,4,4,5,5,2,3,4,3,4,1,1,3,2,1,5,2,3,4,5,63,2,4,2,4,social drinker,city,tried smoking,college/bachelor degree,female,house/bungalow,few hours a day,left handed,sometimes,i am often early,0
3,0,3,5,4,2,19,4,4,4,2,2,2,5,4,3,1,2,2,2,2,5,4,3,3,5,1,3,1,3,3,1,1,2,1,5,4,3,2,2,4,3,3,1,2,2,3,3,3,3,4,4,4,4,3,2,2,2,1,3,4,4,4,163,2,2,2,2,1,3,4,3,2,4,3,1,3,3,2,1,4,2,3,5,4,2,1,3,3,1,0,2,4,3,2,3,5,3,3,2,3,2,4,4,2,1,2,4,4,0,4,4,3,4,2,5,3,5,4,5,1,5,3,2,3,3,5,5,2,4,1,3,4,2,3,3,50,2,4,1,3,social drinker,city,never smoked,secondary school,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,0
5,1,2,4,5,4,20,4,3,4,5,1,5,1,4,5,5,3,1,2,5,1,4,1,5,3,1,3,5,4,5,3,1,2,2,3,4,1,1,3,5,5,3,2,4,2,2,3,2,1,1,4,2,5,4,1,4,1,5,4,2,3,5,187,4,5,5,3,2,5,5,5,4,5,2,3,1,3,4,1,2,1,2,5,5,1,1,5,5,2,1,1,3,5,2,5,3,2,1,3,3,1,4,3,1,3,1,2,4,1,4,4,4,3,3,1,2,5,4,3,5,4,4,1,5,4,4,1,1,3,1,4,3,4,3,5,80,4,3,1,4,social drinker,village,former smoker,secondary school,male,house/bungalow,few hours a day,left handed,sometimes,i am always on time,1
4,1,3,2,4,3,19,5,3,5,5,4,4,4,5,1,2,4,3,2,5,2,4,3,5,5,2,5,2,4,3,4,5,4,4,4,3,1,4,3,5,4,4,2,5,3,2,4,3,3,4,5,5,5,4,3,3,4,4,4,4,4,3,168,5,3,5,3,2,4,4,4,4,4,4,2,5,3,2,2,3,1,4,5,5,3,2,3,4,2,0,2,3,5,3,4,2,2,2,3,5,4,5,3,3,5,5,4,3,2,4,4,4,5,3,2,5,4,3,4,2,5,4,2,4,3,5,3,3,3,4,5,2,5,3,4,60,2,5,2,5,social drinker,village,tried smoking,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often running late,0
4,1,3,5,5,4,25,4,3,3,4,2,4,3,4,5,4,2,3,2,5,1,3,3,4,4,3,4,5,1,4,1,3,1,3,4,3,2,3,1,2,3,4,2,3,4,3,2,2,1,3,4,5,5,4,1,4,3,3,4,5,4,3,183,3,4,2,2,1,4,4,3,4,3,3,4,3,2,5,1,4,2,3,5,4,3,1,3,4,1,0,3,3,1,3,3,3,1,3,4,2,3,3,2,3,3,4,3,4,2,5,4,3,3,4,4,3,4,3,3,3,3,3,4,4,4,5,1,4,3,2,3,5,5,2,4,87,3,1,1,2,drink a lot,city,former smoker,secondary school,male,block of flats,few hours a day,right handed,everytime it suits me,i am always on time,0
4,1,2,1,1,2,22,1,1,5,3,4,4,2,5,3,3,1,3,2,3,2,4,2,5,4,3,5,1,3,4,4,3,1,4,4,3,2,2,4,5,4,2,2,5,2,4,4,3,1,1,4,3,4,1,3,5,3,3,3,5,2,3,177,1,3,4,1,1,3,3,3,5,3,5,1,4,2,2,2,1,1,4,4,4,3,1,3,3,1,0,2,3,3,2,3,1,2,2,5,3,4,4,1,2,3,5,3,4,1,1,3,1,5,1,2,2,2,3,3,3,5,3,2,2,2,2,1,2,1,3,4,1,3,3,2,80,1,3,2,4,social drinker,city,tried smoking,secondary school,female,block of flats,less than an hour a day,right handed,sometimes,i am always on time,0
4,1,2,4,2,1,20,1,4,5,2,4,4,1,5,1,3,4,1,1,5,1,3,2,5,5,3,2,3,3,3,1,5,5,1,3,3,1,3,1,5,5,4,1,5,2,1,1,1,3,1,3,1,5,1,1,3,1,5,1,3,1,3,158,5,4,4,5,1,5,5,5,1,3,2,2,3,1,1,1,1,3,2,5,5,3,2,5,5,4,0,1,3,2,4,4,5,1,3,3,1,5,4,4,3,5,3,2,1,2,3,4,4,5,3,2,1,5,3,5,1,5,4,1,1,5,5,5,2,3,3,2,5,3,2,3,46,2,1,1,1,social drinker,city,current smoker,secondary school,female,block of flats,few hours a day,left handed,only to avoid hurting someone,i am always on time,0
5,1,5,3,4,5,27,1,3,4,3,5,5,4,5,2,1,3,1,4,4,3,4,4,4,4,3,5,2,5,2,3,2,2,1,5,4,2,4,5,4,5,1,2,5,4,1,2,4,1,2,5,4,5,4,4,5,2,1,3,1,2,4,170,4,1,5,3,2,5,5,5,5,5,2,4,4,3,2,2,5,1,3,4,5,5,3,5,4,1,0,5,4,5,4,3,5,1,5,4,2,3,4,1,2,3,5,3,5,1,1,3,4,3,3,1,5,3,2,4,2,5,3,2,4,1,4,5,4,1,4,1,4,5,3,3,70,2,3,1,2,social drinker,city,tried smoking,masters degree,female,block of flats,few hours a day,right handed,sometimes,i am often early,0
3,0,3,5,3,5,20,1,4,5,3,3,4,3,3,4,5,1,4,4,2,1,3,3,5,1,1,5,1,5,3,2,2,2,3,3,4,2,4,5,2,5,3,1,2,3,5,3,5,1,2,5,5,5,5,1,2,1,2,3,5,2,3,177,1,2,4,2,1,3,5,3,4,4,2,2,1,2,4,3,3,3,2,5,5,4,3,3,4,5,0,1,2,5,4,3,1,1,4,4,3,5,4,4,2,2,3,3,4,5,3,5,4,4,5,4,4,3,3,4,3,2,4,1,2,3,2,2,3,1,3,3,3,4,4,2,67,1,5,2,1,social drinker,city,tried smoking,college/bachelor degree,male,block of flats,few hours a day,right handed,sometimes,i am often early,0
5,1,3,5,3,2,19,5,3,1,3,2,3,1,4,3,4,3,1,1,5,1,3,4,5,5,1,3,1,3,3,4,5,3,3,1,4,2,1,5,4,5,5,1,1,1,1,3,3,3,3,5,3,5,4,3,3,2,5,5,5,3,3,170,3,4,1,1,1,2,5,5,3,3,5,5,3,3,2,1,1,1,2,5,5,5,1,5,3,1,0,1,3,3,3,3,5,1,1,5,2,1,5,1,1,4,5,3,5,3,5,3,3,5,2,3,1,4,5,3,3,5,2,1,3,3,4,5,1,1,5,2,2,3,1,4,72,1,1,1,1,social drinker,village,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,sometimes,i am always on time,1
